id,year,company,country,industry_group,weight_kg,carbon_footprint_pcf,upstream_percent_total_pcf,operations_percent_total_pcf,downstream_percent_total_pcf
10056 1 2014,2014,Kellogg Company,USA,"Food, Beverage & Tobacco",0.7485,2,57.50%,30.00%,12.50%
10056 1 2015,2015,Kellogg Company,USA,Food & Beverage Processing,0.7485,2,57.50%,30.00%,12.50%
10222 1 2013,2013,KNOLL INC,USA,Capital Goods,20.68,72.54,80.63%,17.36%,2.01%
10261 1 2017,2017,"Konica Minolta, Inc.",Japan,Technology Hardware & Equipment,110,1488,30.65%,5.51%,63.84%
10261 2 2017,2017,"Konica Minolta, Inc.",Japan,Technology Hardware & Equipment,110,1818,25.08%,4.51%,70.41%
10261 3 2017,2017,"Konica Minolta, Inc.",Japan,Technology Hardware & Equipment,110,2274,20.05%,3.61%,76.34%
10324 1 2016,2016,"Kuraray Co., Ltd.",Japan,Materials,1500,10000,null,null,null
10418 1 2013,2013,Lafarge S.A.,France,Materials,1000,1102,null,null,null
10661 10 2014,2014,Levi Strauss & Co.,USA,Consumer Durables & Apparel,0.7665,15,null,null,null
10661 10 2015,2015,Levi Strauss & Co.,USA,"Textiles, Apparel, Footwear and Luxury Goods",0.7665,15,null,null,null
10661 10 2016,2016,Levi Strauss & Co.,USA,Consumer Durables & Apparel,0.7665,15,null,null,null
10661 11 2014,2014,Levi Strauss & Co.,USA,Consumer Durables & Apparel,0.997,15,null,null,null
10661 11 2015,2015,Levi Strauss & Co.,USA,"Textiles, Apparel, Footwear and Luxury Goods",0.997,16,null,null,null
10661 1 2014,2014,Levi Strauss & Co.,USA,Consumer Durables & Apparel,0.997,16,null,null,null
10661 1 2015,2015,Levi Strauss & Co.,USA,"Textiles, Apparel, Footwear and Luxury Goods",0.997,16,null,null,null
10661 1 2016,2016,Levi Strauss & Co.,USA,Consumer Durables & Apparel,0.997,16,null,null,null
10661 2 2014,2014,Levi Strauss & Co.,USA,Consumer Durables & Apparel,0.68,8.6,null,null,null
10661 2 2015,2015,Levi Strauss & Co.,USA,"Textiles, Apparel, Footwear and Luxury Goods",0.68,8.6,null,null,null
10661 2 2016,2016,Levi Strauss & Co.,USA,Consumer Durables & Apparel,0.88,8.6,null,null,null
10661 3 2014,2014,Levi Strauss & Co.,USA,Consumer Durables & Apparel,0.68,7.7,null,null,null
10661 3 2015,2015,Levi Strauss & Co.,USA,"Textiles, Apparel, Footwear and Luxury Goods",0.68,7.7,null,null,null
10661 3 2016,2016,Levi Strauss & Co.,USA,Consumer Durables & Apparel,0.88,7.7,null,null,null
10661 4 2014,2014,Levi Strauss & Co.,USA,Consumer Durables & Apparel,0.997,15,null,null,null
10661 4 2015,2015,Levi Strauss & Co.,USA,"Textiles, Apparel, Footwear and Luxury Goods",0.997,15,null,null,null
10661 5 2014,2014,Levi Strauss & Co.,USA,Consumer Durables & Apparel,0.997,16,null,null,null
10661 5 2015,2015,Levi Strauss & Co.,USA,"Textiles, Apparel, Footwear and Luxury Goods",0.997,16,null,null,null
10661 6 2014,2014,Levi Strauss & Co.,USA,Consumer Durables & Apparel,0.68,16,null,null,null
10661 6 2015,2015,Levi Strauss & Co.,USA,"Textiles, Apparel, Footwear and Luxury Goods",0.68,16,null,null,null
10661 7 2014,2014,Levi Strauss & Co.,USA,Consumer Durables & Apparel,0.7665,16,null,null,null
1198 2 2014,2014,"Autodesk, Inc.",USA,Software & Services,0.0085,2.29,67.61%,2.22%,30.17%
10661 7 2015,2015,Levi Strauss & Co.,USA,"Textiles, Apparel, Footwear and Luxury Goods",0.7665,16,null,null,null
10661 8 2014,2014,Levi Strauss & Co.,USA,Consumer Durables & Apparel,0.7665,16,null,null,null
10661 8 2015,2015,Levi Strauss & Co.,USA,"Textiles, Apparel, Footwear and Luxury Goods",0.7665,16,null,null,null
10661 9 2014,2014,Levi Strauss & Co.,USA,Consumer Durables & Apparel,0.7665,15,null,null,null
10661 9 2015,2015,Levi Strauss & Co.,USA,"Textiles, Apparel, Footwear and Luxury Goods",0.7665,16,null,null,null
10666 10 2014,2014,"Lexmark International, Inc.",USA,Technology Hardware & Equipment,16.03449,1616.172,null,null,null
10666 11 2014,2014,"Lexmark International, Inc.",USA,Technology Hardware & Equipment,15.898413,1523.19,null,null,null
10666 1 2014,2014,"Lexmark International, Inc.",USA,Technology Hardware & Equipment,31.365912,2358.38,null,null,null
10666 12 2014,2014,"Lexmark International, Inc.",USA,Technology Hardware & Equipment,16.03449,1524.56,null,null,null
10666 13 2014,2014,"Lexmark International, Inc.",USA,Technology Hardware & Equipment,16.66952,1617.69,null,null,null
10666 14 2014,2014,"Lexmark International, Inc.",USA,Technology Hardware & Equipment,18.37049,1978.08,null,null,null
10666 15 2014,2014,"Lexmark International, Inc.",USA,Technology Hardware & Equipment,17.576704,1957.73,null,null,null
10666 16 2014,2014,"Lexmark International, Inc.",USA,Technology Hardware & Equipment,27.4877,2106.94,null,null,null
10666 17 2014,2014,"Lexmark International, Inc.",USA,Technology Hardware & Equipment,27.44234,2005.36,null,null,null
10666 18 2014,2014,"Lexmark International, Inc.",USA,Technology Hardware & Equipment,27.44234,2387.57,null,null,null
10666 19 2014,2014,"Lexmark International, Inc.",USA,Technology Hardware & Equipment,27.75985,2744.39,null,null,null
10666 20 2014,2014,"Lexmark International, Inc.",USA,Technology Hardware & Equipment,27.44234,2747.47,null,null,null
10666 21 2014,2014,"Lexmark International, Inc.",USA,Technology Hardware & Equipment,22.45282,1140.41,null,null,null
10666 2 2014,2014,"Lexmark International, Inc.",USA,Technology Hardware & Equipment,31.365912,3236.35,null,null,null
10666 22 2014,2014,"Lexmark International, Inc.",USA,Technology Hardware & Equipment,23.019813,1498.6,null,null,null
10666 23 2014,2014,"Lexmark International, Inc.",USA,Technology Hardware & Equipment,25.4012,1678.97,null,null,null
10666 24 2014,2014,"Lexmark International, Inc.",USA,Technology Hardware & Equipment,28.03201,2132.34,null,null,null
10666 25 2014,2014,"Lexmark International, Inc.",USA,Technology Hardware & Equipment,57.1526,2923.11,null,null,null
10666 26 2014,2014,"Lexmark International, Inc.",USA,Technology Hardware & Equipment,57.1526,3127.248,null,null,null
10666 27 2014,2014,"Lexmark International, Inc.",USA,Technology Hardware & Equipment,118.07009,2536.12,null,null,null
10666 28 2014,2014,"Lexmark International, Inc.",USA,Technology Hardware & Equipment,118.07009,2973.37,null,null,null
1198 2 2015,2015,"Autodesk, Inc.",USA,Software & Services,0.0085,2.29,67.61%,2.22%,30.17%
10666 29 2014,2014,"Lexmark International, Inc.",USA,Technology Hardware & Equipment,118.07009,3335.99,null,null,null
10666 3 2014,2014,"Lexmark International, Inc.",USA,Technology Hardware & Equipment,32.6587,3128.864,null,null,null
10666 4 2014,2014,"Lexmark International, Inc.",USA,Technology Hardware & Equipment,20.32094,1968.62,null,null,null
10666 5 2014,2014,"Lexmark International, Inc.",USA,Technology Hardware & Equipment,20.50238,3143.478,null,null,null
10666 6 2014,2014,"Lexmark International, Inc.",USA,Technology Hardware & Equipment,20.91061,3024.602,null,null,null
10666 7 2014,2014,"Lexmark International, Inc.",USA,Technology Hardware & Equipment,23.700201,2597.12,null,null,null
10666 8 2014,2014,"Lexmark International, Inc.",USA,Technology Hardware & Equipment,15.807694,1504.51,null,null,null
10666 9 2014,2014,"Lexmark International, Inc.",USA,Technology Hardware & Equipment,15.807694,1490.36,null,null,null
10667 1 2014,2014,LG Chem Ltd,South Korea,Materials,1000,5846,null,null,null
10667 1 2015,2015,LG Chem Ltd,South Korea,Chemicals,1000,10245,null,null,null
10667 2 2013,2013,LG Chem Ltd,South Korea,Materials,1000,3197.1,null,null,null
10667 2 2014,2014,LG Chem Ltd,South Korea,Materials,1000,3113,null,null,null
10667 2 2015,2015,LG Chem Ltd,South Korea,Chemicals,1000,6309,null,null,null
10667 2 2016,2016,LG Chem Ltd,South Korea,Materials,1000,4286,null,null,null
10667 3 2015,2015,LG Chem Ltd,South Korea,Chemicals,1000,876,null,null,null
10667 3 2016,2016,LG Chem Ltd,South Korea,Materials,1000,396,null,null,null
10667 4 2016,2016,LG Chem Ltd,South Korea,Materials,1000,1088,null,null,null
10667 5 2016,2016,LG Chem Ltd,South Korea,Materials,1000,10607,null,null,null
10670 1 2013,2013,LG Electronics,South Korea,Consumer Durables & Apparel,0.1471,7,11.28%,0.01%,88.70%
10834 1 2015,2015,Logitech International SA,Switzerland,Technology Hardware & Equipment,0.136,4.32,4.63%,60.42%,34.95%
1085 1 2013,2013,Associated British Foods,United Kingdom,"Food, Beverage & Tobacco",1000,650,46.15%,53.85%,0.00%
1085 1 2014,2014,Associated British Foods,United Kingdom,"Food, Beverage & Tobacco",1000,650,null,null,null
1085 1 2016,2016,Associated British Foods,United Kingdom,"Food, Beverage & Tobacco",1000,650,null,null,null
11152 1 2013,2013,MAGOTTEAUX,Brazil,Materials,1500,1750,null,null,null
11632 1 2016,2016,MediaTek,Taiwan,Semiconductors & Semiconductor Equipment,0.1,1.719,72.39%,27.61%,0.00%
1198 1 2013,2013,"Autodesk, Inc.",USA,Software & Services,0.0907185,1.28,null,null,null
1198 1 2014,2014,"Autodesk, Inc.",USA,Software & Services,0.0907185,1.28,44.05%,11.15%,44.79%
1198 1 2015,2015,"Autodesk, Inc.",USA,Software & Services,0.0907185,1.28,44.05%,11.15%,44.80%
1198 2 2013,2013,"Autodesk, Inc.",USA,Software & Services,0.0085,2.285,75.54%,2.22%,22.24%
1198 4 2015,2015,"Autodesk, Inc.",USA,Software & Services,0.181437,1.67,43.72%,17.13%,39.15%
12084 1 2016,2016,Miquel Y Costas,Spain,Materials,1,3,null,null,null
12117 1 2013,2013,MITIE Group,United Kingdom,Commercial & Professional Services,2.32,320,null,null,null
12117 2 2013,2013,MITIE Group,United Kingdom,Commercial & Professional Services,4.2,20,null,null,null
12134 1 2017,2017,"Mitsubishi Gas Chemical Company, Inc.",Japan,Materials,500,200,56.50%,29.93%,13.57%
12134 2 2017,2017,"Mitsubishi Gas Chemical Company, Inc.",Japan,Materials,20,71,64.44%,34.13%,1.43%
12134 3 2017,2017,"Mitsubishi Gas Chemical Company, Inc.",Japan,Materials,20,4,65.22%,34.54%,0.24%
12134 4 2017,2017,"Mitsubishi Gas Chemical Company, Inc.",Japan,Materials,9,8,63.68%,33.73%,2.60%
12134 5 2017,2017,"Mitsubishi Gas Chemical Company, Inc.",Japan,Materials,25,42,63.82%,33.80%,2.38%
12134 6 2017,2017,"Mitsubishi Gas Chemical Company, Inc.",Japan,Materials,17736,6469,null,null,null
12134 7 2017,2017,"Mitsubishi Gas Chemical Company, Inc.",Japan,Materials,160,139,7.13%,3.77%,89.10%
